wikidata,immagine,nome,everypolitician_legacy,wikipediaIT,id
Q15886083,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/153/original_d302153.jpg,FAVA Giovanni,302153,https://it.wikipedia.org/wiki/Giovanni_Fava_(1968),00785cbe-e1ef-46f1-886a-c51df9071728
Q15964456,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/858/original_d302858.jpg,MURER Delia,302858,https://it.wikipedia.org/wiki/Delia_Murer,014a8d06-05d1-4a3b-a3fa-e29f4fa9f411
Q15212457,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/409/original_d301409.jpg,META Michele Pompeo,301409,https://it.wikipedia.org/wiki/Michele_Pompeo_Meta,016ec141-46b4-4f89-8a96-3e54f852d80f
Q3894431,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/294/original_d302294.jpg,ROSSI Paolo,302294,https://it.wikipedia.org/wiki/Paolo_Rossi_(politico_1958),018d3ba2-4ede-454a-9443-71f3b8a13bda
Q16533874,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/149/original_d306149.jpg,CENSORE Bruno,306149,https://it.wikipedia.org/wiki/Bruno_Censore,020b537a-34d8-4951-b866-300a285f161f
Q8277714,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/827/original_d305827.jpg,KYENGE Cecile,305827,https://it.wikipedia.org/wiki/Cécile_Kyenge,020e1482-ce8d-4e27-a66b-49a5fc26742b
Q266651,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/531/original_d301531.jpg,CARFAGNA Maria Rosaria,301531,https://it.wikipedia.org/wiki/Mara_Carfagna,02dce5ed-179d-46e7-9be3-fe49f8011a1f
Q16566836,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/541/original_d305541.jpg,DELLA VALLE Ivan,305541,https://it.wikipedia.org/wiki/Ivan_Della_Valle,036fc213-06b1-4508-ae4b-9fecb1f3ae6c
Q13400951,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/294/original_d306294.jpg,GIORDANO Giancarlo,306294,https://it.wikipedia.org/wiki/Giancarlo_Giordano,038515de-fefc-4772-a549-8f0cb8a2a0da
Q3619752,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/050/447/original_d50447.jpg,LEONE Antonio,50447,https://it.wikipedia.org/wiki/Antonio_Leone,03e5e2b1-7597-4712-96be-f0b1a6fa0673
Q15944970,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/763/original_d305763.jpg,LODOLINI Emanuele,305763,https://it.wikipedia.org/wiki/Emanuele_Lodolini,040fc972-df2d-4ce2-81ef-11a80ae94a3e
Q16526416,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/135/original_d306135.jpg,VECCHIO Andrea,306135,https://it.wikipedia.org/wiki/Andrea_Vecchio,04893422-4bb4-427b-9ed7-2012c86a2928
Q16576697,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/824/original_d305824.jpg,LEONORI Marta,305824,https://it.wikipedia.org/wiki/Marta_Leonori,04b09c26-d0b7-4f9a-b215-e2ce3aa67d71
Q1079940,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/034/730/original_d34730.jpg,VITO Elio,34730,https://it.wikipedia.org/wiki/Elio_Vito,04d96fa7-c0c8-4092-ae59-8fbbb834f050
Q3848080,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/231/original_d300231.jpg,SERENI Marina,300231,https://it.wikipedia.org/wiki/Marina_Sereni,05830162-5206-46cf-aa0c-9df4c8edc1dd
Q16560068,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/509/original_d305509.jpg,MONCHIERO Giovanni,305509,https://it.wikipedia.org/wiki/Giovanni_Monchiero,05c87595-7cfd-4d97-8ed4-fe32a40f9762
Q16560248,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/524/original_d305524.jpg,SORIAL Girgis Giorgio,305524,https://it.wikipedia.org/wiki/Girgis_Giorgio_Sorial,06c61dd0-68a6-4dfe-9438-6fa668cebe4c
Q7132262,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/505/original_d305505.jpg,VITELLI Paolo,305505,https://it.wikipedia.org/wiki/Paolo_Vitelli_(imprenditore),06d4c350-0917-46b2-9e1a-ed323d562c73
Q16526205,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/787/original_d305787.jpg,CECCONI Andrea,305787,https://it.wikipedia.org/wiki/Andrea_Cecconi,0726aa29-1c00-4bb0-9376-e7874fb49d11
Q3750589,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/303/107/original_d303107.jpg,SANNA Francesco,303107,https://it.wikipedia.org/wiki/Francesco_Sanna,073c0340-2453-4e7a-b626-91dbc8baf26d
Q15632092,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/501/original_d305501.jpg,BORGHESI Stefano,305501,https://it.wikipedia.org/wiki/Stefano_Borghesi,08bb3a1b-ce98-46e9-9126-ed54f8ade5f9
Q3938844,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/480/original_d300480.jpg,GIACHETTI Roberto,300480,https://it.wikipedia.org/wiki/Roberto_Giachetti,08cf89c0-d125-4227-a923-0209d4aeeb32
Q3762506,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/496/original_d301496.jpg,BOCCI Gianpiero,301496,https://it.wikipedia.org/wiki/Gianpiero_Bocci,0aeb7fc4-0b17-4ffb-b207-8a0b10d013ba
Q15141218,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/492/original_d301492.jpg,MARTINELLI Marco,301492,https://it.wikipedia.org/wiki/Marco_Martinelli_(politico),0b317349-ab76-4c2d-a002-ec5d5d8478df
Q3827737,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/757/original_d305757.jpg,BOLDRINI Laura,305757,https://it.wikipedia.org/wiki/Laura_Boldrini,0b4d2a4a-4311-4790-92de-5c540a666df2
Q13629087,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/194/original_d306194.jpg,LAFORGIA Francesco,306194,https://it.wikipedia.org/wiki/Francesco_Laforgia,0b4e8e46-bc18-42b0-b13b-5b71d83174fb
Q15917017,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/562/original_d301562.jpg,GRASSI Gero,301562,https://it.wikipedia.org/wiki/Gero_Grassi,0b798b9c-00d8-44bf-ba4b-d0487b744eeb
Q16575553,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/729/original_d305729.jpg,CAROCCI Mara,305729,https://it.wikipedia.org/wiki/Mara_Carocci,0b7b1e44-18b9-4e1a-9689-5096fa058523
Q15936360,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/175/original_d306175.jpg,GELLI Federico,306175,https://it.wikipedia.org/wiki/Federico_Gelli,0bc2c28d-d8e3-495e-8fb3-b42afe3081a7
Q3610164,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/578/original_d301578.jpg,NACCARATO Alessandro,301578,https://it.wikipedia.org/wiki/Alessandro_Naccarato,0c259c15-2eaa-4275-8541-8475d1baee44
Q16164768,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/610/original_d305610.jpg,ALLI Paolo,305610,https://it.wikipedia.org/wiki/Paolo_Alli,0c2a6a9c-acb0-46ec-a83c-a5beec408125
Q3615909,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/463/original_d301463.jpg,ORLANDO Andrea,301463,https://it.wikipedia.org/wiki/Andrea_Orlando,0c5c1303-2f64-4515-906d-a6c73f8a075a
Q16571306,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/525/original_d305525.jpg,CASTELLI Laura,305525,https://it.wikipedia.org/wiki/Laura_Castelli,0c8f7dc2-83be-4316-8f24-96fd1400e4c8
Q3713683,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/480/original_d301480.jpg,LENZI Donata,301480,https://it.wikipedia.org/wiki/Donata_Lenzi,0ca3d689-c47b-439e-b5f3-328121d67428
Q3725786,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/790/original_d302790.jpg,GASBARRA Enrico,302790,https://it.wikipedia.org/wiki/Enrico_Gasbarra,0cd4eada-2378-4382-b5ba-d593ab82b7d8
Q730910,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/050/079/original_d50079.jpg,FIORONI Giuseppe,50079,https://it.wikipedia.org/wiki/Giuseppe_Fioroni,0ce3ac10-17fc-4716-9b10-695208bf3116
Q15711788,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/972/original_d305972.jpg,FERRARESI Vittorio,305972,https://it.wikipedia.org/wiki/Vittorio_Ferraresi,0d036ae2-e367-4fea-b52b-ab4a57d6ba4c
Q16524889,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/598/original_d305598.jpg,ZOLEZZI Alberto,305598,https://it.wikipedia.org/wiki/Alberto_Zolezzi,0dacd1d7-24c0-486d-9687-4f5a1ed055b0
Q16167433,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/946/original_d305946.jpg,ANZALDI Michele,305946,https://it.wikipedia.org/wiki/Michele_Anzaldi,0dc329ee-5ad0-4bdd-909f-b191028c8b42
Q15623382,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/549/original_d305549.jpg,BONAFE' Simona,305549,https://it.wikipedia.org/wiki/Simona_Bonafè,0dd96444-20d8-4d6c-91b1-94a8b0feee06
Q15654010,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/888/original_d305888.jpg,ARLOTTI Tiziano,305888,https://it.wikipedia.org/wiki/Tiziano_Arlotti,0de56316-b015-41a9-853d-10af200f5c98
Q3749320,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/918/original_d302918.jpg,GENOVESE Francantonio,302918,https://it.wikipedia.org/wiki/Francantonio_Genovese,0df29e0f-00ea-4d8a-982d-29da40233a47
Q3764802,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/378/original_d300378.jpg,ALFANO Gioacchino,300378,https://it.wikipedia.org/wiki/Gioacchino_Alfano,0e6b65fd-1a02-4fb4-a613-3f7adf47b0d0
Q3827834,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/459/original_d301459.jpg,RAVETTO Laura,301459,https://it.wikipedia.org/wiki/Laura_Ravetto,0e833414-61da-4489-9ca0-de271543af5c
Q7001739,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/896/original_d305896.jpg,CASSANO Franco,305896,https://it.wikipedia.org/wiki/Franco_Cassano_(sociologo),11156fb6-a76c-437f-9828-5f5c294b2ff8
Q3335245,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/942/original_d302942.jpg,ANGELUCCI Antonio,302942,https://it.wikipedia.org/wiki/Antonio_Angelucci,111629b9-2bf2-4afe-9997-55b440e9fa34
Q1071053,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/532/original_d301532.jpg,DAMIANO Cesare,301532,https://it.wikipedia.org/wiki/Cesare_Damiano,111d8321-f3d9-4198-8370-95b9df790555
Q540403,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/183/original_d306183.jpg,NESI Edoardo,306183,https://it.wikipedia.org/wiki/Edoardo_Nesi,11b9faa5-49c7-4d13-b69a-f7769f02b4e5
