id,wikipediaItIntroText
00785cbe-e1ef-46f1-886a-c51df9071728,"Giovanni Fava detto Gianni (Viadana, 8 maggio 1968) è un politico italiano."
014a8d06-05d1-4a3b-a3fa-e29f4fa9f411,"Delia Murer (Falcade, 25 gennaio 1955) è una politica italiana di Articolo 1 - Movimento Democratico e Progressista."
016ec141-46b4-4f89-8a96-3e54f852d80f,"Michele Pompeo Meta (Villa Santa Lucia, 8 maggio 1953) è un politico italiano del Partito Democratico."
018d3ba2-4ede-454a-9443-71f3b8a13bda,"Paolo Rossi (Varese, 4 gennaio 1958) è un giornalista e politico italiano."
020b537a-34d8-4951-b866-300a285f161f,"Bruno Censore, detto Brunello (Serra San Bruno, 6 agosto 1958), è un docente e politico italiano, deputato della Repubblica Italiana."
020e1482-ce8d-4e27-a66b-49a5fc26742b,"Kashetu Kyenge, detta Cécile (/seˈsil ˈkjɛŋɡe/; Kambove, 28 agosto 1964), è una politica italiana di origini congolesi e prima ministra afroitaliana. È stata Ministro dell'Integrazione del governo Letta."
02dce5ed-179d-46e7-9be3-fe49f8011a1f,"Maria Rosaria Carfagna detta Mara (Salerno, 18 dicembre 1975) è una politica italiana, ex show-girl e Miss Cinema 1997. Parlamentare del Popolo della Libertà e di Forza Italia, è stata Ministro per le pari opportunità del Governo Berlusconi IV. Attualmente è portavoce del gruppo di Forza Italia alla Camera dei Deputati e capo del Dipartimento per i diritti di Forza Italia."
036fc213-06b1-4508-ae4b-9fecb1f3ae6c,"Ivan Della Valle (Torino, 4 dicembre 1974) è un politico italiano."
038515de-fefc-4772-a549-8f0cb8a2a0da,"Giancarlo Giordano (Avellino, 11 dicembre 1972) è un politico italiano."
03e5e2b1-7597-4712-96be-f0b1a6fa0673,"Antonio Leone (Putignano, 16 gennaio 1948) è un politico italiano, vicepresidente della Camera dei Deputati dal 2008 al 15 marzo 2013."
040fc972-df2d-4ce2-81ef-11a80ae94a3e,"Emanuele Lodolini (Ancona, 12 agosto 1977) è un politico italiano."
