logo,partito,programma,nomefile
http://dait.interno.gov.it/documenti/trasparenza/Contrassegni/Accettato/Piccolo/001MAIE_SIE.PNG,MAIE-MOVIMENTO ASSOCIATIVO ITALIANI ALL'ESTERO,http://dait.interno.gov.it/documenti/trasparenza/Doc/1/1_Prog_Elettorale.pdf,1-1_Prog_Elettorale.pdf
http://dait.interno.gov.it/documenti/trasparenza/Contrassegni/Accettato/Piccolo/004MOVIMENTO5STELLE_SIE.PNG,MOVIMENTO 5 STELLE,http://dait.interno.gov.it/documenti/trasparenza/Doc/4/4_Prog_Elettorale.pdf,4-4_Prog_Elettorale.pdf
http://dait.interno.gov.it/documenti/trasparenza/Contrassegni/Accettato/Piccolo/005LEGANORD_SIE.PNG,LEGA NORD,http://dait.interno.gov.it/documenti/trasparenza/Doc/5/5_Prog_Elettorale.pdf,5-5_Prog_Elettorale.pdf
http://dait.interno.gov.it/documenti/trasparenza/Contrassegni/Accettato/Piccolo/006CASAPOUNDITALIA_SIE.PNG,CASAPOUND ITALIA,http://dait.interno.gov.it/documenti/trasparenza/Doc/6/6_Prog_Elettorale.pdf,6-6_Prog_Elettorale.pdf
http://dait.interno.gov.it/documenti/trasparenza/Contrassegni/Accettato/Piccolo/007DIECIVOLTEMEGLIO_SIE.PNG,10 VOLTE MEGLIO,http://dait.interno.gov.it/documenti/trasparenza/Doc/7/7_Progr_Elettorale.pdf,7-7_Progr_Elettorale.pdf
http://dait.interno.gov.it/documenti/trasparenza/Contrassegni/Accettato/Piccolo/008SIAMO_SIE.PNG,SIAMO,http://dait.interno.gov.it/documenti/trasparenza/Doc/8/8_Progr_Eelettorale.pdf,8-8_Progr_Eelettorale.pdf
http://dait.interno.gov.it/documenti/trasparenza/Contrassegni/Accettato/Piccolo/009DEMOCRAZIACRISTIANA_SOST_SIE.PNG,DEMOCRAZIA CRISTIANA,http://dait.interno.gov.it/documenti/trasparenza/Doc/9/9_Prog_Elettorale.pdf,9-9_Prog_Elettorale.pdf
http://dait.interno.gov.it/documenti/trasparenza/Contrassegni/Accettato/Piccolo/011CONFEDERAZIONEGRANDENORD_SIE.PNG,CONFEDERAZIONE GRANDE NORD,http://dait.interno.gov.it/documenti/trasparenza/Doc/11/11_Prog_Elettorale.pdf,11-11_Prog_Elettorale.pdf
http://dait.interno.gov.it/documenti/trasparenza/Contrassegni/Accettato/Piccolo/013POTEREALPOPOLO_SIE.PNG,potere al popolo!,http://dait.interno.gov.it/documenti/trasparenza/Doc/13/13_Progr_elettorale.pdf,13-13_Progr_elettorale.pdf
http://dait.interno.gov.it/documenti/trasparenza/Contrassegni/Accettato/Piccolo/014ITALIAEUROPAINSIEME_SIE.PNG,ITALIA EUROPA INSIEME,http://dait.interno.gov.it/documenti/trasparenza/Doc/14/14_Progr_Politico.pdf,14-14_Progr_Politico.pdf
http://dait.interno.gov.it/documenti/trasparenza/Contrassegni/Accettato/Piccolo/014AITALIAEUROPAINSIEME_SIE.PNG,ITALIA EUROPA INSIEME,http://dait.interno.gov.it/documenti/trasparenza/Doc/14A/14_Progr_Politico.pdf,14A-14_Progr_Politico.pdf
http://dait.interno.gov.it/documenti/trasparenza/Contrassegni/Accettato/Piccolo/014BITALIAEUROPAINSIEME_SIE.PNG,ITALIA EUROPA INSIEME,http://dait.interno.gov.it/documenti/trasparenza/Doc/14B/14_Progr_Politico.pdf,14B-14_Progr_Politico.pdf
http://dait.interno.gov.it/documenti/trasparenza/Contrassegni/Accettato/Piccolo/017ILPOPOLODELLAFAMIGLIA_SIE.PNG,IL POPOLO DELLA FAMIGLIA,http://dait.interno.gov.it/documenti/trasparenza/Doc/17/17_Prog_elettorale.pdf,17-17_Prog_elettorale.pdf
