LISTA;CIRCOSCRIZIONE;COLLEGIO PLURINOMINALE;COLLEGIO UNINOMINALE;NUMERO CANDIDATO;CANDIDATO
AUTODETERMINATZIONE;SARDEGNA;SARDEGNA - 01;01 - CAGLIARI;2;PORCELLA PAOLO 
AUTODETERMINATZIONE;SARDEGNA;SARDEGNA - 01;02 - NUORO;2;DEVIAS PIER FRANCO 
AUTODETERMINATZIONE;SARDEGNA;SARDEGNA - 01;03 - SASSARI;2;PIRAS MARINA 
CASAPOUND ITALIA;ABRUZZO;ABRUZZO - 01;01 - PESCARA;10;IACOMELLI MIRKO 
CASAPOUND ITALIA;ABRUZZO;ABRUZZO - 01;02 - L'AQUILA;10;BOTTOS LINA 
CASAPOUND ITALIA;BASILICATA;BASILICATA - 01;01 - POTENZA;;DE ANNA PATRIZIA 
CASAPOUND ITALIA;CALABRIA;CALABRIA - 01;01 - CROTONE;;RENDA ROSA 
CASAPOUND ITALIA;CALABRIA;CALABRIA - 01;02 - COSENZA;;LIO ETTORE 
CASAPOUND ITALIA;CALABRIA;CALABRIA - 01;03 - CATANZARO;;NERO CATERINA 
CASAPOUND ITALIA;CALABRIA;CALABRIA - 01;04 - REGGIO DI CALABRIA;;MALASPINA NICOLA ANTONIO 
CASAPOUND ITALIA;CAMPANIA;CAMPANIA - 01;01 - BENEVENTO;;LIBRASI ANTONIO 
CASAPOUND ITALIA;CAMPANIA;CAMPANIA - 01;02 - CASERTA;;DEBLASIO MARIA STELLA 
CASAPOUND ITALIA;CAMPANIA;CAMPANIA - 01;03 - AVELLINO;;GENZALE ANTONIO 
CASAPOUND ITALIA;CAMPANIA;CAMPANIA - 02;04 - GIUGLIANO IN CAMPANIA;;LUBRANO BENITO 
CASAPOUND ITALIA;CAMPANIA;CAMPANIA - 02;06 - CASORIA;;FERRARA BERNARDINA 
CASAPOUND ITALIA;CAMPANIA;CAMPANIA - 02;07 - NAPOLI - CIRCOSCRIZIONE 7 SAN CARLO ALL'ARENA;;PANZERA ALESSANDRA 
CASAPOUND ITALIA;CAMPANIA;CAMPANIA - 02;08 - NAPOLI - CIRCOSCRIZIONE 19 FUORIGROTTA;;SCHIAVO VINCENZO 
CASAPOUND ITALIA;CAMPANIA;CAMPANIA - 03;05 - PORTICI;;NAPPA MARIA GIUSEPPA ROSARIA 
CASAPOUND ITALIA;CAMPANIA;CAMPANIA - 03;09 - TORRE DEL GRECO;;ESPOSITO ALESSANDRO 
CASAPOUND ITALIA;CAMPANIA;CAMPANIA - 03;10 - SALERNO;;GERARDI GIOVANNA 
CASAPOUND ITALIA;CAMPANIA;CAMPANIA - 03;11 - BATTIPAGLIA;;LUONGO SALVATORE 
CASAPOUND ITALIA;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 01;01 - RIMINI;;NEPI LUANA 
CASAPOUND ITALIA;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 01;02 - RAVENNA;;PENNUCCI IRMA DONATELLA 
CASAPOUND ITALIA;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 01;03 - FERRARA;;VISTA GIUSEPPE 
CASAPOUND ITALIA;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 01;04 - BOLOGNA;;PALMIERI MASSIMILIANO 
CASAPOUND ITALIA;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 02;05 - MODENA;;MALERBA GIUSEPPE ANTONIO 
CASAPOUND ITALIA;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 02;06 - REGGIO NELL'EMILIA ;;REVERBERI CARLOTTA 
